2,,,,
1.41708,-0.23,1.41708,,
1.06662,0.23,1.06662,,
1.15548,0.23,1.15548,,
111.940,-0.32,111.940,,
1.61473,0.23,1.61473,,
127.606,0.23,127.606,,
0.84511,0.23,0.84511,,
0.95335,0.23,0.95335,,
0.81552,0.23,0.81552,,
79.010,-0.28,79.010,,
1.01637,0.23,1.01637,,
84.218,0.23,84.218,,
82.873,0.23,82.873,,
96.852,0.23,96.852,,
1.32750,0.23,1.32750,,
1.34940,-0.24,1.34940,,
0.87663,0.23,0.87663,,
1.51450,0.23,1.51450,,
1.53942,-0.23,1.53942,,
1.31750,0.23,1.31750,,
0.80573,0.23,0.80573,,
66.800,0.23,66.800,,
64.903,0.23,64.903,,
11.458,0.23,11.458,,
,,,,
,,,,
day before rates,,2 days before,,
